Tube.ID,Tube lable ,Date,Location,colony_id,Species,Fixative,Goal,Process,TREATMENT,Note,Slury.vol.ml,,
122,61,20261202,Samara,POC_1,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
123,62,20261202,Samara,POC_2,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
124,62,20261202,Samara,POC_2,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
125,63,20261202,Samara,POC_3,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
126,63,20261202,Samara,POC_3,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
127,64,20261202,Samara,POC_4,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
128,64,20261202,Samara,POC_4,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
129,65,20261202,Samara,POC_5,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
130,65,20261202,Samara,POC_5,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
131,66,20261202,Samara,POC_6,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
132,66,20261202,Samara,POC_6,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
133,67,20261202,Samara,POC_7,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
134,67,20261202,Samara,POC_7,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
135,68,20261302,Samara,POC_8,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
136,68,20261302,Samara,POC_8,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
137,69,20261302,Samara,POC_9,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
138,69,20261302,Samara,POC_9,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
139,70,20261302,Samara,POC_10,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
140,70,20261302,Samara,POC_10,Pocillopora capitata,-20,Physiology,,,After TPC,4,,
141,71,20261202,Samara,POR_11,Porites lobata,-20,Physiology,,,After TPC,4,,
142,71,20261202,Samara,POR_11,Porites lobata,-20,Physiology,,,After TPC,4,,
143,72,20261202,Samara,POR_12,Porites lobata,-20,Physiology,,,After TPC,4,,
144,72,20261202,Samara,POR_12,Porites lobata,-20,Physiology,,,After TPC,4,,
145,73,20261202,Samara,POR_13,Porites lobata,-20,Physiology,,,After TPC,,,
146,73,20261202,Samara,POR_13,Porites lobata,-20,Physiology,,,After TPC,,,
147,74,20261202,Samara,POR_14,Porites lobata,-20,Physiology,,,After TPC,4,,
148,74,20261202,Samara,POR_14,Porites lobata,-20,Physiology,,,After TPC,4,,
149,75,20261202,Samara,POR_15,Porites lobata,-20,Physiology,,,After TPC,4,,
150,75,20261202,Samara,POR_15,Porites lobata,-20,Physiology,,,After TPC,4,,
151,76,20261202,Samara,POR_16,Porites lobata,-20,Physiology,,,After TPC,,,
152,76,20261202,Samara,POR_16,Porites lobata,-20,Physiology,,,After TPC,,,
153,77,20261202,Samara,POR_17,Porites lobata,-20,Physiology,,,After TPC,4,,
154,77,20261202,Samara,POR_17,Porites lobata,-20,Physiology,,,After TPC,4,,
155,78,20261302,Samara,POR_18,Porites lobata,-20,Physiology,,,After TPC,4,,
156,78,20261302,Samara,POR_18,Porites lobata,-20,Physiology,,,After TPC,4,,
157,79,20261302,Samara,POR_19,Porites lobata,-20,Physiology,,,After TPC,4,,
158,79,20261302,Samara,POR_19,Porites lobata,-20,Physiology,,,After TPC,4,,
159,80,20261302,Samara,POR_20,Porites lobata,-20,Physiology,,,After TPC,4,,
160,80,20261302,Samara,POR_20,Porites lobata,-20,Physiology,,,After TPC,4,,
161,81,20261202,Samara,SW,SW,500um RNA/DNA shield +-20,SW Microbiome,Filter,,Collected on 20261102 and were kept in the fridge for one day before filtering,,,
162,82,20261202,Samara,SW,SW,500um RNA/DNA shield +-21,SW Microbiome,Filter,,,,,
163,83,20261202,Samara,SW,SW,500um RNA/DNA shield +-22,SW Microbiome,Filter,,,,,
164,84,20261202,Samara,SW,SW,500um RNA/DNA shield +-23,SW Microbiome,Filter,,,,,
165,\,20261402,Papagayo,SW,SW,500um RNA/DNA shield +-24,SW Microbiome,Filter,,,,,
166,86,20261402,Papagayo,SW,SW,500um RNA/DNA shield +-25,SW Microbiome,Filter,,,,,
167,87,20261402,Papagayo,SW,SW,500um RNA/DNA shield +-26,SW Microbiome,Filter,,,,,
168,88,20261402,Papagayo,SW,SW,500um RNA/DNA shield +-27,SW Microbiome,Filter,,,,,
169,89,20261402,Papagayo,POC_21,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
170,89,20261402,Papagayo,POC_21,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
171,90,20261402,Papagayo,POC_22,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
172,90,20261402,Papagayo,POC_22,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
173,91,20261402,Papagayo,POC_23,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
174,91,20261402,Papagayo,POC_23,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
