,...1,Species,Colony,Site,Temp,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
56,56,Poccilopora,POC_28,Papagayo,32,20260216.06,2/16/2026,55141,581.2,-0.3,24,15.98,128.7,207.2,78.6,0.379,256.7,0.3,0.66,426,0.11,6398,0.23,183035,--------,-------,1257,43407,600,207.2,223.4,16.2,0.073,174.1,0.16,0.194,575,0.014,14302,0.792,14461,--------,-------,11731,11767,85.2
57,57,Poccilopora,POC_26,Papagayo,32,20260216.06,2/16/2026,55190,401.6,-0.3,24,15.97,166.2,278.8,112.6,0.404,294.3,0.24,0.68,421,0.1,4826,0.22,147446,--------,-------,969,33767,400,270.3,299.6,29.3,0.098,176,0.16,0.254,783,0.013,14024,0.733,14049,--------,-------,10640,10684,94
58,58,Poccilopora,POC_24,Papagayo,32,20260216.06,2/16/2026,55227,531,-0.3,23.9,15.95,133.6,226.6,93,0.41,253,0.3,0.61,404,0.13,2177,0.25,115440,--------,-------,721,29923,500,227.1,246.7,19.5,0.079,169,0.33,0.168,462,0.818,16792,0.014,16843,--------,-------,14010,14050,71.4
59,59,Poccilopora,POC_27,Papagayo,32,20260216.06,2/16/2026,55264,481.5,-0.3,23.9,15.95,135.7,223.3,87.6,0.392,270.1,0.31,0.64,385,0.11,2906,0.25,158811,--------,-------,765,39914,500,218.4,239.9,21.5,0.09,181.1,0.16,0.229,791,0.757,14084,0.015,14215,--------,-------,11001,11048,90.9
60,60,Poccilopora,POC_25,Papagayo,32,20260216.06,2/16/2026,55323,499.8,-0.3,24,15.95,131.4,210.7,79.3,0.376,257.8,0.27,0.64,365,0.13,3037,0.24,168017,--------,-------,809,40637,500,186.9,203.1,16.1,0.08,170.9,0.26,0.263,522,0.012,16544,0.725,16606,--------,-------,12328,12377,81.1
61,61,Porites,POR_34,Papagayo,34,20260216.06,2/16/2026,58971,667,-0.3,24.6,15.96,142.5,237.1,94.5,0.399,298.4,0.28,0.62,306,0.16,3247,0.22,122910,--------,-------,912,27174,400,205.3,227.6,22.2,0.098,193.4,0.07,0.291,729,0.019,13216,0.689,13344,--------,-------,9596,9666,104.2
62,62,Porites,POR_36,Papagayo,34,20260216.06,2/16/2026,59033,602,-0.3,24.6,15.93,148.5,245.8,97.3,0.396,293.5,0.26,0.62,327,0.16,2299,0.22,102051,--------,-------,735,23278,500,241.9,265.9,24.1,0.091,177.3,0,0.287,408,0.037,11897,0.676,11917,--------,-------,8488,8615,117.8
63,63,Porites,POR_35,Papagayo,34,20260216.06,2/16/2026,59064,445.2,-0.3,24.6,15.91,222.6,368.4,145.8,0.396,312.8,0.21,0.49,387,0.26,2567,0.25,95795,--------,-------,1146,25261,300,316.1,348.7,32.6,0.094,206,0.02,0.372,548,0.046,11999,0.582,12032,--------,-------,7560,7764,132.3
64,64,Porites,POR_39,Papagayo,34,20260216.06,2/16/2026,59094,438.3,-0.3,24.6,15.91,254.7,417.6,162.9,0.39,370.3,0.23,0.54,468,0.22,4137,0.24,116840,--------,-------,1529,29323,200,399,432.7,33.7,0.078,216.1,0.04,0.261,880,0.724,13539,0.015,13708,--------,-------,10180,10234,98.2
65,65,Porites,POR_38,Papagayo,34,20260216.07,2/16/2026,59126,690.7,-0.3,24.7,15.9,178.8,286.5,107.8,0.376,323,0.24,0.65,316,0.14,2933,0.21,156517,--------,-------,792,33655,400,283.8,309.9,26.1,0.084,202.5,0,0.265,531,0.712,13038,0.023,13068,--------,-------,9641,9719,103.7
