MiniDOT Logger Concatenated Data File
Sensor:             7530-479402
Concatenation Date: 2026Feb10 14:52:20 CST


            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1719850680,           2024-07-01 16:18:00,           2024-07-01 10:18:00,      3.520000,     28.484000,      3.900000,     1235.000000,      -20.000000,      272.000000
                1719851280,           2024-07-01 16:28:00,           2024-07-01 10:28:00,      3.520000,     28.492000,      2.900000,     1235.000000,        4.000000,      272.000000
                1719851880,           2024-07-01 16:38:00,           2024-07-01 10:38:00,      3.520000,     28.492000,      1.700000,     1239.000000,      -31.000000,      232.000000
                1719852480,           2024-07-01 16:48:00,           2024-07-01 10:48:00,      3.520000,     28.509000,      1.000000,     1200.000000,      -40.000000,      408.000000
                1719853080,           2024-07-01 16:58:00,           2024-07-01 10:58:00,      3.520000,     28.517000,      0.500000,     1240.000000,      -16.000000,      248.000000
                1719853680,           2024-07-01 17:08:00,           2024-07-01 11:08:00,      3.520000,     28.525000,      0.000000,     1238.000000,      -32.000000,      260.000000
                1719854280,           2024-07-01 17:18:00,           2024-07-01 11:18:00,      3.520000,     28.509000,      0.000000,     1196.000000,      -18.000000,      416.000000
                1719854880,           2024-07-01 17:28:00,           2024-07-01 11:28:00,      3.520000,     28.533000,      0.100000,     1240.000000,      -24.000000,      256.000000
                1719855480,           2024-07-01 17:38:00,           2024-07-01 11:38:00,      3.520000,     28.533000,     -0.100000,     1235.000000,      -29.000000,      264.000000
                1719856080,           2024-07-01 17:48:00,           2024-07-01 11:48:00,      3.520000,     28.533000,     -0.000000,     1196.000000,      -40.000000,      424.000000
                1719856680,           2024-07-01 17:58:00,           2024-07-01 11:58:00,      3.520000,     28.542000,     -0.000000,     1238.000000,      -24.000000,      230.000000
                1719857280,           2024-07-01 18:08:00,           2024-07-01 12:08:00,      3.520000,     28.558000,      0.000000,     1200.000000,      -52.000000,      396.000000
                1719857880,           2024-07-01 18:18:00,           2024-07-01 12:18:00,      3.520000,     28.566000,     -0.000000,     1238.000000,      -48.000000,      248.000000
                1719858480,           2024-07-01 18:28:00,           2024-07-01 12:28:00,      3.520000,     28.566000,     -0.100000,     1238.000000,      -26.000000,      249.000000
                1719859080,           2024-07-01 18:38:00,           2024-07-01 12:38:00,      3.520000,     28.558000,      0.000000,     1239.000000,      -40.000000,      246.000000
                1719859680,           2024-07-01 18:48:00,           2024-07-01 12:48:00,      3.520000,     28.574000,     -0.000000,     1238.000000,      -52.000000,      268.000000
                1719860280,           2024-07-01 18:58:00,           2024-07-01 12:58:00,      3.520000,     28.574000,     -0.000000,     1235.000000,      -24.000000,      252.000000
                1719860880,           2024-07-01 19:08:00,           2024-07-01 13:08:00,      3.520000,     28.591000,     -0.100000,     1236.000000,      -40.000000,      256.000000
                1719861480,           2024-07-01 19:18:00,           2024-07-01 13:18:00,      3.520000,     28.591000,     -0.100000,     1238.000000,      -16.000000,      270.000000
